iter,param,Coef,modelType,DV,SurveyLabel,qGroup
1,Intercept,-1.5167122647833926,nbinom,Serious Infection,Intercept,Other
2,Intercept,-1.56497363042084,nbinom,Serious Infection,Intercept,Other
3,Intercept,-1.5222085839868178,nbinom,Serious Infection,Intercept,Other
4,Intercept,-1.3244128956664325,nbinom,Serious Infection,Intercept,Other
5,Intercept,-1.418321008377356,nbinom,Serious Infection,Intercept,Other
6,Intercept,-1.393631443470334,nbinom,Serious Infection,Intercept,Other
7,Intercept,-1.4804115440542018,nbinom,Serious Infection,Intercept,Other
8,Intercept,-1.6017613756675468,nbinom,Serious Infection,Intercept,Other
9,Intercept,-0.9643190108772356,nbinom,Serious Infection,Intercept,Other
10,Intercept,-1.204482214832579,nbinom,Serious Infection,Intercept,Other
11,Intercept,-0.8080765404473249,nbinom,Serious Infection,Intercept,Other
12,Intercept,-1.439199819713222,nbinom,Serious Infection,Intercept,Other
13,Intercept,-2.1310714441471283,nbinom,Serious Infection,Intercept,Other
14,Intercept,-1.7643967822443356,nbinom,Serious Infection,Intercept,Other
15,Intercept,-1.6912502527828095,nbinom,Serious Infection,Intercept,Other
16,Intercept,-1.592669617973856,nbinom,Serious Infection,Intercept,Other
17,Intercept,-1.6226099264265157,nbinom,Serious Infection,Intercept,Other
18,Intercept,-1.6993382355493925,nbinom,Serious Infection,Intercept,Other
19,Intercept,-1.7533535693682158,nbinom,Serious Infection,Intercept,Other
20,Intercept,-1.62935116619925,nbinom,Serious Infection,Intercept,Other
21,Intercept,-1.6426097238295283,nbinom,Serious Infection,Intercept,Other
22,Intercept,-1.898970439430029,nbinom,Serious Infection,Intercept,Other
23,Intercept,-1.4185207110801257,nbinom,Serious Infection,Intercept,Other
24,Intercept,-1.078899275815324,nbinom,Serious Infection,Intercept,Other
25,Intercept,-1.0934759410001185,nbinom,Serious Infection,Intercept,Other
26,Intercept,-0.878185466880478,nbinom,Serious Infection,Intercept,Other
27,Intercept,-1.9911937347909967,nbinom,Serious Infection,Intercept,Other
28,Intercept,-2.0009190709565217,nbinom,Serious Infection,Intercept,Other
29,Intercept,-1.2338307594658633,nbinom,Serious Infection,Intercept,Other
30,Intercept,-1.205089542119132,nbinom,Serious Infection,Intercept,Other
31,Intercept,-1.1956291154119527,nbinom,Serious Infection,Intercept,Other
32,Intercept,-1.0672141462777267,nbinom,Serious Infection,Intercept,Other
33,Intercept,-2.1278305501693615,nbinom,Serious Infection,Intercept,Other
34,Intercept,-1.5179100782401196,nbinom,Serious Infection,Intercept,Other
35,Intercept,-2.0271459249650294,nbinom,Serious Infection,Intercept,Other
36,Intercept,-1.0203485656906957,nbinom,Serious Infection,Intercept,Other
37,Intercept,-1.7108460546882174,nbinom,Serious Infection,Intercept,Other
38,Intercept,-1.6202913098384428,nbinom,Serious Infection,Intercept,Other
39,Intercept,-1.872089561074703,nbinom,Serious Infection,Intercept,Other
40,Intercept,-1.042848225296329,nbinom,Serious Infection,Intercept,Other
41,Intercept,-1.9362248880982256,nbinom,Serious Infection,Intercept,Other
42,Intercept,-1.6075477521247408,nbinom,Serious Infection,Intercept,Other
43,Intercept,-1.4418508285997294,nbinom,Serious Infection,Intercept,Other
44,Intercept,-1.573431215099013,nbinom,Serious Infection,Intercept,Other
45,Intercept,-1.4625581171494766,nbinom,Serious Infection,Intercept,Other
46,Intercept,-1.6963551392305356,nbinom,Serious Infection,Intercept,Other
47,Intercept,-1.1234184228226305,nbinom,Serious Infection,Intercept,Other
48,Intercept,-1.312621390509237,nbinom,Serious Infection,Intercept,Other
49,Intercept,-1.8765280808306464,nbinom,Serious Infection,Intercept,Other
50,Intercept,-1.4988607882938272,nbinom,Serious Infection,Intercept,Other
51,Intercept,-1.3508444215462747,nbinom,Serious Infection,Intercept,Other
52,Intercept,-1.5835387543163555,nbinom,Serious Infection,Intercept,Other
53,Intercept,-1.4422561863676822,nbinom,Serious Infection,Intercept,Other
54,Intercept,-2.354147927967883,nbinom,Serious Infection,Intercept,Other
55,Intercept,-1.2577323099427684,nbinom,Serious Infection,Intercept,Other
56,Intercept,-1.222257793898148,nbinom,Serious Infection,Intercept,Other
57,Intercept,-1.286199698957676,nbinom,Serious Infection,Intercept,Other
58,Intercept,-1.0857657158504468,nbinom,Serious Infection,Intercept,Other
59,Intercept,-1.987066813304868,nbinom,Serious Infection,Intercept,Other
60,Intercept,-1.862814911621632,nbinom,Serious Infection,Intercept,Other
61,Intercept,-1.4226046113042037,nbinom,Serious Infection,Intercept,Other
62,Intercept,-1.434946319030162,nbinom,Serious Infection,Intercept,Other
63,Intercept,-1.9550490639683804,nbinom,Serious Infection,Intercept,Other
64,Intercept,-1.7185152457681876,nbinom,Serious Infection,Intercept,Other
65,Intercept,-1.572687721248342,nbinom,Serious Infection,Intercept,Other
66,Intercept,-1.489285667375308,nbinom,Serious Infection,Intercept,Other
67,Intercept,-1.198252863660195,nbinom,Serious Infection,Intercept,Other
68,Intercept,-1.740578749646504,nbinom,Serious Infection,Intercept,Other
69,Intercept,-1.282648852333372,nbinom,Serious Infection,Intercept,Other
70,Intercept,-1.3471378861565948,nbinom,Serious Infection,Intercept,Other
71,Intercept,-1.060933562924936,nbinom,Serious Infection,Intercept,Other
72,Intercept,-1.697231602669654,nbinom,Serious Infection,Intercept,Other
73,Intercept,-1.2228002263813051,nbinom,Serious Infection,Intercept,Other
74,Intercept,-1.3660455093245791,nbinom,Serious Infection,Intercept,Other
75,Intercept,-1.2330438508223367,nbinom,Serious Infection,Intercept,Other
76,Intercept,-1.4410655861070376,nbinom,Serious Infection,Intercept,Other
77,Intercept,-1.584628152778711,nbinom,Serious Infection,Intercept,Other
78,Intercept,-1.2840153644047885,nbinom,Serious Infection,Intercept,Other
79,Intercept,-1.960065309208714,nbinom,Serious Infection,Intercept,Other
80,Intercept,-1.8580923419005917,nbinom,Serious Infection,Intercept,Other
81,Intercept,-2.3614448883657415,nbinom,Serious Infection,Intercept,Other
82,Intercept,-2.319483679267511,nbinom,Serious Infection,Intercept,Other
83,Intercept,-1.7025126207682544,nbinom,Serious Infection,Intercept,Other
84,Intercept,-1.2734360888638747,nbinom,Serious Infection,Intercept,Other
85,Intercept,-1.8145318195990816,nbinom,Serious Infection,Intercept,Other
86,Intercept,-1.8684104144064495,nbinom,Serious Infection,Intercept,Other
87,Intercept,-1.535430673415651,nbinom,Serious Infection,Intercept,Other
88,Intercept,-0.9090875614922258,nbinom,Serious Infection,Intercept,Other
89,Intercept,-1.502185521237922,nbinom,Serious Infection,Intercept,Other
90,Intercept,-1.7810996902377356,nbinom,Serious Infection,Intercept,Other
91,Intercept,-2.02737286305959,nbinom,Serious Infection,Intercept,Other
92,Intercept,-1.6982629223249697,nbinom,Serious Infection,Intercept,Other
93,Intercept,-1.2521464042196375,nbinom,Serious Infection,Intercept,Other
94,Intercept,-1.3355941731974672,nbinom,Serious Infection,Intercept,Other
95,Intercept,-1.4560788175689128,nbinom,Serious Infection,Intercept,Other
96,Intercept,-1.5325094817666505,nbinom,Serious Infection,Intercept,Other
97,Intercept,-1.2866227065010691,nbinom,Serious Infection,Intercept,Other
98,Intercept,-1.3996811445046475,nbinom,Serious Infection,Intercept,Other
99,Intercept,-1.4173875333560697,nbinom,Serious Infection,Intercept,Other
100,Intercept,-1.6575435325437546,nbinom,Serious Infection,Intercept,Other
101,Intercept,-0.9937343159443128,nbinom,Serious Infection,Intercept,Other
102,Intercept,-1.6000113501183977,nbinom,Serious Infection,Intercept,Other
103,Intercept,-2.322733544935643,nbinom,Serious Infection,Intercept,Other
104,Intercept,-1.3695513917820126,nbinom,Serious Infection,Intercept,Other
105,Intercept,-1.6076739007805312,nbinom,Serious Infection,Intercept,Other
106,Intercept,-1.3121564509523866,nbinom,Serious Infection,Intercept,Other
107,Intercept,-1.2241504431495724,nbinom,Serious Infection,Intercept,Other
108,Intercept,-2.0162520900073218,nbinom,Serious Infection,Intercept,Other
109,Intercept,-0.8079329054500661,nbinom,Serious Infection,Intercept,Other
110,Intercept,-1.073843891115868,nbinom,Serious Infection,Intercept,Other
111,Intercept,-0.6269311450117612,nbinom,Serious Infection,Intercept,Other
112,Intercept,-0.7415611008764091,nbinom,Serious Infection,Intercept,Other
113,Intercept,-1.5157781908785743,nbinom,Serious Infection,Intercept,Other
114,Intercept,-1.3901894228412033,nbinom,Serious Infection,Intercept,Other
115,Intercept,-1.3757498522609704,nbinom,Serious Infection,Intercept,Other
